sgnascar;hikaru
sgtetris;naomi
shienryu;stvbios
shikgam2;naomigd
shikigam;coh3002t
shikigama;coh3002t
shocktr2;neogeo
shocktro;neogeo
shollow;midssio
shootopl;naomi
shootpl;naomi
shootplm;naomi
sianniv;coh3002t
simpbowl;konamigv
sl2007;naomi
slasho;naomi
slashout;naomigd
sleague;stvbios
smleague;stvbios
smlg99;naomi
socbrawl;neogeo
soccerss;konamigx
sokyugrt;stvbios
solarfox;midssio
sonicwi2;neogeo
sonicwi3;neogeo
soulclb2;sys246
soulclb3;sys246
soulsurf;naomi2
soutenry;coh3002t
spacefrt;cvs
spawn;naomi
spinmast;neogeo
spkrbtl;naomigd
sprtjam;naomigd
spuzbobl;coh3002t
spyhunt;midssio
ssideki;neogeo
ssideki2;neogeo
ssideki3;neogeo
ssideki4;neogeo
sss;stvbios
sstrkfgt;naomi
stakwin;neogeo
stakwin2;neogeo
starglad;cpzn1
starglad;coh1000c
starseek;naomigd
starsldr;aleck64
stepchmp;sys573
strahl;nmk004
strgchmp;sys573
strhoop;neogeo
strider2;cpzn2
strider2;coh3002c
styphp;taitotz
suikoenb;stvbios
superbik;cvs
superdbz;sys256
superman;cchip
superspy;neogeo
sushibar;awbios
svc;neogeo
svg;pgm
swcourt;namcoc69
swracer;hikaru
sws95;namcoc75
sws96;namcoc75
sws97;namcoc75
tail2nos;ym2608
takoron;naomigd
tapper;midssio
tblkkuzu;coh1002m
tbyahhoo;konamigx
tdragon;nmk004
tduno;naomi
tduno2;naomi
techbowl;stvbios
techromn;cpzn2
techromn;coh3002c
tekken4;sys246
tekken51;sys256
tekken5d;sys256
tetgiant;segasp
tetkiwam;naomigd
tgmj;cpzn1
tgmj;coh3002c
theglad;pgm
thrild2;kviper
thrild3j;kpython2
timber;midssio
tinklpit;namcoc69
tkmmpzdm;konamigx
tokkae;konamigx
tokyobus;naomi
tondemo;tps
tondemo;coh1002m
topbladv;crysbios
tophuntr;neogeo
totd;naomi
toukon4;naomi
toyfight;naomi
tpgolf;neogeo
trally;neogeo
trgheart;naomigd
trizeal;naomigd
tron;midssio
ts2;cpzn1
ts2;coh1000c
tsurugi;kviper
turfmast;neogeo
twcup90;ym2608
twcup98;stvbios
twcupmil;coh1002m
twinbeeb;bubsys
twinspri;neogeo
twotiger;midssio
twrshaft;aleck64
tws96;neogeo
twsoc96;neogeo
undefeat;naomigd
v4cmaze;v4bios
v4cmaze2;v4bios
v4cmaze3;v4bios
vandyke;nmk004
vathlete;naomigd
vblokbrk;skns
vf4;naomi2
vf4cart;naomi2
vf4evo;naomi2
vf4evoct;naomi2
vf4tuned;naomi2
vfkids;stvbios
vfremix;stvbios
vfurlong;awbios
viewpoin;neogeo
virnba;naomi
virtpool;iteagle
vivdolls;aleck64
volfied;cchip
vonot;naomi
vs2_2k;naomi
vs2002ex;triforce
vs2002j;triforce
vs2002t3;triforce
vs4;triforce
vs42006;triforce
vs42k6ex;triforce
vs4j;triforce
vshoot;namcoc75
vsnetscr;konamigx
vstrik3;naomi2
vstrik3c;naomi2
vtenis2c;naomi
vtennis;naomi
vtennis2;naomigd
vtennisg;naomigd
wacko;midssio
waidrive;awbios
wakuwak7;neogeo
wallst;cvs
wanganmd;sys246
wanganmr;sys246
wangmid;chihiro
wangmid2;chihiro
wccf116;naomigd
wccf1dup;naomigd
wccf212e;naomigd
wccf234j;naomigd
wccf2chk;naomigd
wccf310j;naomigd
wccf322e;naomigd
wccf420e;naomigd
wh1;neogeo
wh2;neogeo
wh2j;neogeo
whp;neogeo
winspike;konamigx
winterht;stvbios
wjammers;neogeo
wldkicks;naomi
wldrider;naomi2
wrungp;naomi
wsbbgd;naomigd
wswe;kpython
wswe2k3;kpython
wwfroyal;naomi
xiistag;coh3002t
xrally;hng64
xtrial;kviper
yuyuhaku;sys256
zedblade;neogeo
zerogu2;naomi
zgundm;sys246
zgundmdx;sys246
znpwfv;stvbios
zoidiexp;sys246
zoidsinf;sys246
zokuoten;coh3002t
zombrvn;naomi
zooo;coh3002t
zupapa;neogeo
