gundamos;jvs13551;segadimm;seganetw
endless;s_smp
endlessa;s_smp
gunnail;nmk004
gunnailp;nmk004
hachamf;nmk004
hachamfa;nmk004
hachamfb;nmk004
hachamfp;nmk004
hpyagu98;segabill
haremchl;microtouch
harleya;segabill
harley;segabill
hattrick;sente6vb
hatrisj;ym2608
hatrisp;ym2608
hatris;ym2608
hmgeo;mie;jvs13551
hostinv;tgui9680
hydrthnd;virge_pci
hydrthnd100d;virge_pci
hydrthnd101b;virge_pci
hsf2d;qsound_hle
hsf2a;qsound_hle
hsf2j2;qsound_hle
hsf2j1;qsound_hle
hsf2j;qsound_hle
hsf2;qsound_hle
ikaruga;mie;jvs13551;segadimm
illvelo;mie;jvs13551
indy500d;segabill
indy500;segabill
indy500to;segabill
initdexp;mie;jvs13551;segadimm
initdexpo;mie;jvs13551;segadimm
initd;mie;jvs13551;segadimm
initdo;mie;jvs13551;segadimm
initdv2e;mie;jvs13551;segadimm
initdv2ja;mie;jvs13551;segadimm
initdv2j;mie;jvs13551;segadimm
initdv2jo;mie;jvs13551;segadimm
initdv3e;mie;jvs13551;segadimm
initdv3jb;mie;jvs13551;segadimm
initdv3j;mie;jvs13551;segadimm
inidv3ca;mie;jvs13551;segadimm
inidv3cy;mie;jvs13551;segadimm
istellar;ldv1000
istellar2;ldv1000
invasnab3;tms32032
invasnab4;tms32032
invasnab;tms32032
iqblockf;ym2413
iqblock;ym2413
iron;s_smp
vshoot;namcoc75
jambo;mie;jvs13551
jigkmgri;cchip
jigkmgria;cchip
jingystm;mie;jvs13551;segadimm
journey;midssio
karous;mie;jvs13551;segadimm
kick4csh;mie;jvs13551;sega837_14438
kickc;midssio
kick;midssio
kikstart;m68705p5
kickman;midssio
kinstsnes;s_smp
kinstb;s_smp
knightb;m68705p3
knckheadjp;namcoc70
knckheadj;namcoc70
knckhead;namcoc70
bmcbowl;ym2413
strahlj;nmk004
strahlja;nmk004
strahl;nmk004
kroozr;midssio
krama;m68705p3
kram;m68705p3
kurucham;mie;jvs13551;segadimm
kyukaidk;namcoc65
kyukaidko;namcoc65
lamachin;segabill
ladykill;ym2413
lsasquad;m68705p5
lgp;ldv1000
lgpalt;ldv1000
lasstixx;microtouch
lastbrnx;segabill
lastbrnxu;segabill
lastbrnxj;segabill
lemans24;segabill
legendsb;s_smp
nss_lwep;s_smp;m50458
luckywld;namcoc68
luckywldj;namcoc68
lupinshoo;mie;jvs13551;segadimm
lupinsho;mie;jvs13551;segadimm
luptype;mie;jvs13551;segadimm
mach3;pr8210
mach3a;pr8210
mach3b;pr8210
machbrkrj;namcoc75
machbrkr;namcoc75
magerror;ym2413
magtruck;segabill
malzak;saa5050
malzak2;saa5050
mamonoro;mie;jvs13551
maniach;m68705p5
maniach2;m68705p5
manicpnc;mie;jvs13551
manxttdx;segabill
manxttc;segabill
manxtt;segabill
mmatrixa;qsound_hle
mmatrixj;qsound_hle
mmatrixd;qsound_hle
mmatrix;qsound_hle
maruchan;segabill
marvland;namcoc65
marvlandup;namcoc65
msha;qsound_hle
mshbr1;qsound_hle
mshb;qsound_hle
msh;qsound_hle
mshh;qsound_hle
mshjr1;qsound_hle
mshj;qsound_hle
mshud;qsound_hle
mshu;qsound_hle
mshvsfa1;qsound_hle
mshvsfa;qsound_hle
mshvsfb1;qsound_hle
mshvsfb;qsound_hle
mshvsf;qsound_hle
mshvsfh;qsound_hle
mshvsfj2;qsound_hle
mshvsfj1;qsound_hle
mshvsfj;qsound_hle
mshvsfu1d;qsound_hle
mshvsfu1;qsound_hle
mshvsfu;qsound_hle
mvsc2;mie;jvs13551
mvsc2u;mie;jvs13551
mvscar1;qsound_hle
mvsca;qsound_hle
mvscb;qsound_hle
mvscr1;qsound_hle
mvsc;qsound_hle
mvsch;qsound_hle
mvscjr1;qsound_hle
mvscj;qsound_hle
mvscjsing;qsound_hle
mvscur1;qsound_hle
mvscud;qsound_hle
mvscu;qsound_hle
mausuke;segabill
mazanj;mie;jvs13551
mazanu;mie;jvs13551
mazan;mie;jvs13551
mechattj;ym2608
mechattu1;ym2608
mechattu;ym2608
mechatt;ym2608
megablstj;cchip
megablstu;cchip
megablst;cchip
megaman2a;qsound_hle
megaman2h;qsound_hle
megamn2d;qsound_hle
megaman2;qsound_hle
mmancp2ur2;qsound_hle
