name;description;year;category;genre;Top200;score;Top50;Icons;Top50 80s;Top50 90s;bios;sample
dariusg;Darius Gaiden - Silver Hawk;1994;Shooter / Flying Horizontal;Shooter;ok;5;x;;;x;;
deathsml;Deathsmiles;2007;Shooter / Flying Horizontal;Shooter;ok;4;x;;;x;;
defender;Defender;1980;Shooter / Flying Horizontal;Shooter;ok;3;x;x;x;;;
digdug;Dig Dug;1982;Maze / Digging;Maze;ok;3;;x;x;;;
ddonpach;DoDonPachi;1997;Shooter / Flying Vertical;Shooter;ok;5;x;;;x;;
dogyuun;Dogyuun;1992;Shooter / Flying Vertical;Shooter;ok;4;;;;;;
dkong;Donkey Kong;1981;Platform / Run Jump;Platform;ok;3;;x;x;;;
dkongjr;Donkey Kong Junior;1982;Platform / Run Jump;Platform;ok;4;;;x;;;
ddragon;Double Dragon;1987;Fighter / 2.5D;Fighter;ok;4;x;x;x;;;
dragnblz;Dragon Blaze;2000;Shooter / Flying Vertical;Shooter;ok;5;x;;;x;;
dbz2;Dragonball Z 2 - Super Battle;1994;Fighter / Versus;Fighter;ok;3;;;;;;
ddsom;Dungeons & Dragons - shadow over mystara;1996;Fighter / 2.5D;Fighter;ok;5;x;;;x;;
elvactr;Elevator Action Returns;1994;Platform / Shooter;Platform;ok;5;x;;;x;;
esprade;ESP Ra.De. - A.D.2018 Tokyo;1998;Shooter / Flying Vertical;Shooter;ok;4;;;;;;
espgal2;Espgaluda II;2005;Shooter / Flying Vertical;Shooter;ok;5;x;;;x;;
extdwnhl;Extreme Downhill;1995;Sports / Skiing;Sports;ok;3;;;;fbneo;;
fantzone;Fantasy Zone;1986;Shooter / Flying Horizontal;Shooter;ok;3;;x;x;;;
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai;1995;Fighter / Versus;Fighter;ok;4;;;;x;neogeo;
ffight;Final Fight;1989;Fighter / 2.5D;Fighter;ok;5;x;x;x;;;
flicky;Flicky;1984;Platform / Run Jump;Platform;ok;5;x;x;x;;;
fshark;Flying Shark;1987;Shooter / Flying Vertical;Shooter;ok;3;;;x;;;
frogger;Frogger;1981;Maze / Cross;Maze;ok;3;;x;x;;;
galaga88;Galaga '88;1987;Shooter / Gallery;Shooter;ok;3;;;x;;;
garou;Garou - Mark of the Wolves;1999;Fighter / Versus;Fighter;ok;5;x;x;;x;neogeo;
ghouls;Ghouls'n Ghosts;1988;Platform / Fighter Scrolling;Platform;ok;4;x;;x;;;
gigawing;Giga Wing;1999;Shooter / Flying Vertical;Shooter;ok;5;;;;x;;
goldnaxe;Golden Axe;1989;Fighter / 2.5D;Fighter;ok;3;;x;x;;;
gberet;Green Beret;1985;Platform / Shooter Scrolling;Platform;ok;3;;;x;;;
grdians;Guardians;1995;Fighter / 2.5D;Fighter;ok;3;;;;;;
gnbarich;Gunbarich;2001;Ball & Paddle / Breakout;Ball & Paddle;ok;4;;;;;;
gunbird2;Gunbird 2;1998;Shooter / Flying Vertical;Shooter;ok;5;x;;;x;;
gundhara;Gundhara;1995;Shooter / Walking;Shooter;ok;4;;;;;;
gunlock;Gunlock / RayForce;1993;Shooter / Flying Vertical;Shooter;ok;4;;;;x;;
gyruss;Gyruss;1983;Shooter / Flying (chase view);Shooter;ok;3;;;x;;;
hook;Hook;1992;Fighter / 2.5D;Fighter;ok;3;;;;;;
hsf2;Hyper Street Fighter II: The Anniversary Edition;2004;Fighter / Versus;Fighter;ok;5;x;;;;;
joemacr;Joe & Mac Returns;1994;Platform / Run Jump;Platform;ok;4;;;;x;;
jojoba;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan;1999;Fighter / Versus;Fighter;ok;5;;;;;;
joust;Joust;1982;Platform / Run Jump;Platform;ok;4;;x;x;;;
kingdmgp;Kingdom Grandprix;1994;Shooter / Flying Vertical;Shooter;ok;4;;;;;;
