name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
starfrce;"Star Force (Jpn)";1985;"Hudson Soft";YES;msx;NO;-;-;
starfrcea;"Star Force (Jpn, Alt)";1985;"Hudson Soft";NO;starfrce;YES;starfrce;-;
starsold;"Star Soldier (Jpn)";1986;"Hudson Soft";YES;msx;NO;-;-;
starsolda;"Star Soldier (Jpn, Alt)";1986;"Hudson Soft";NO;starsold;YES;starsold;-;
starbugg;"Starbuggy (Euro)";1988;"Eurosoft";YES;msx;NO;-;-;
starship;"Starship Simulator (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
starshipa;"Starship Simulator (Jpn, Alt)";1984;"ASCII";NO;starship;YES;starship;-;
stepup;"Step Up (Jpn)";1983;"HAL Kenkyuujo";YES;msx;NO;-;-;
stepupa;"Step Up (Jpn, Alt)";1983;"HAL Kenkyuujo";NO;stepup;YES;stepup;-;
stepupk;"Step Up (Kor)";198?;"Zemina";NO;stepup;YES;stepup;-;
stepper;"Stepper (Jpn)";1985;"ASCII";YES;msx;NO;-;-;
bousousos;"Stop the Express. Bousou Tokkyuu SOS (Jpn)";1985;"Hudson Soft";YES;msx;NO;-;-;
bousousosa;"Stop the Express. Bousou Tokkyuu SOS (Jpn, Alt)";1985;"Hudson Soft";NO;bousousos;YES;bousousos;-;
stranglp;"Strange Loop (Jpn)";1987;"Nihon Dexter";YES;msx;NO;-;-;
straycat;"Stray Cat";2009;"IMANOK";YES;msx;NO;-;-;
strtmast;"Street Master (Kor)";1992;"Zemina";YES;msx;NO;-;-;
subacuatic;"Subacuatic";2012;"RELEVO / The Mojon Twins";YES;msx;NO;-;-;
suparobo;"Suparobo (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
sbillard;"Super Billiards (Jpn)";1983;"HAL Kenkyuujo";YES;msx;NO;-;-;
sbioman4;"Super Bioman 4 (Kor)";199?;"Zemina";YES;msx;NO;-;-;
sboy3;"Super Boy 3 (Kor)";1991;"Zemina";YES;msx;NO;-;-;
sboy3a;"Super Boy 3 (Kor, Alt)";1991;"Zemina";NO;sboy3;YES;sboy3;-;
sboy1;"Super Boy I (Kor)";1989;"Zemina";YES;msx;NO;-;-;
sboy2;"Super Boy II. (Kor)";1989;"Zemina";YES;msx;NO;-;-;
sboy2a;"Super Boy II. (Kor, Alt)";1989;"Zemina";NO;sboy2;YES;sboy2;-;
scobra;"Super Cobra (Jpn)";1983;"Konami";YES;msx;NO;-;-;
