name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
roboterm;"RoboCop versus The Terminator (Euro, Bra)";1993;"Virgin Interactive";YES;-;NO;-;-;
rocky;"Rocky (World)";1987;"Sega";YES;-;NO;-;-;
running;"Running Battle (Euro, Bra)";1991;"Sega";YES;-;NO;-;-;
saposos;"S.O.S Lagoa Poluida (Bra)";1995;"Tec Toy";NO;astrow;YES;astrow;-;
sagaia;"Sagaia (Euro, Bra)";1992;"Sega";YES;-;NO;-;-;
sangoku3;"Sangokushi 3 (Kor)";1994;"Game Line";YES;-;NO;-;-;
sapomestr;"Sapo Xule - O Mestre do Kung Fu (Bra)";1995;"Tec Toy";NO;kungfuk;YES;kungfuk;-;
sapoxule;"Sapo Xule vs. Os Invasores do Brejo (Bra)";1995;"Tec Toy";NO;psychof;YES;psychof;-;
satell7;"Satellite 7 (Jpn, MyCard)";1985;"Sega";YES;-;NO;-;-;
satell7a;"Satellite 7 (Jpn, Pirate?)";1985;"pirate";NO;satell7;YES;satell7;-;
sspirits;"Scramble Spirits (Euro, Bra)";1989;"Sega";YES;-;NO;-;-;
sdi;"SDI (Jpn)";1987;"Sega";NO;globald;YES;globald;-;
secret;"Secret Command (Euro)";1986;"Sega";YES;-;NO;-;-;
segachss;"Sega Chess (Euro, Bra)";1991;"Sega";YES;-;NO;-;-;
segagfx;"Sega Graphic Board (Jpn, Prototype v2.0)";1987;"Sega";YES;-;NO;-;-;
segawtg;"Sega World Tournament Golf (Euro, Bra, Kor)";1993;"Sega";YES;-;NO;-;-;
seishun;"Seishun Scandal (Jpn, MyCard)";1986;"Sega";NO;myhero;YES;myhero;-;
seishun1;"Seishun Scandal (Jpn, Pirate?)";1986;"pirate";NO;myhero;YES;myhero;-;
sensible;"Sensible Soccer (Euro)";1993;"Sony Imagesoft";YES;-;NO;-;-;
shdancer;"Shadow Dancer (Euro, Bra, Kor)";1991;"Sega";YES;-;NO;-;-;
beast;"Shadow of the Beast (Euro, Bra)";1991;"TecMagik";YES;-;NO;-;-;
shanghai;"Shanghai (Euro, USA)";1988;"Sega";YES;-;NO;-;-;
shanghaip;"Shanghai (Prototype)";1988;"Sega";NO;shanghai;YES;shanghai;-;
