name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
tblade;"Thunder Blade";1990;"NEC Avenue";YES;-;NO;-;-;
timcrus2;"Time Cruise II";1991;"Face";YES;-;NO;-;-;
titan;"Titan";1991;"Naxat";YES;-;NO;-;-;
toiletk;"Toilet Kids";1992;"Media Rings Corporation";YES;-;NO;-;-;
toramich;"Tora e no Michi";1990;"Victor Entertainment";YES;-;NO;-;-;
etercity;"Toshi Tensou Keikaku - Eternal City";1991;"Naxat";YES;-;NO;-;-;
toyshopb;"Toy Shop Boys";1990;"Victor";YES;-;NO;-;-;
tricky;"Tricky";1991;"IGS";YES;-;NO;-;-;
tsuppari;"Tsuppari Oozumou - Heisei Ban";1993;"Naxat";YES;-;NO;-;-;
baibai;"Tsuru Teruhito no Jissen Kabushiki Bai Bai Game";1989;"Intec";YES;-;NO;-;-;
tvbasket;"TV Sports Basketball";1993;"Victor Interactive Software";YES;-;NO;-;-;
tvfootbl;"TV Sports Football";1991;"Victor Interactive Software";YES;-;NO;-;-;
tvhockey;"TV Sports Hockey";1993;"Victor Interactive Software";YES;-;NO;-;-;
usaprobs;"USA Pro Basketball";1989;"Aicom";YES;-;NO;-;-;
veigues;"Veigues - Tactical Gladiator";1990;"Victor Entertainment";YES;-;NO;-;-;
victoryr;"Victory Run";1987;"Hudson";YES;-;NO;-;-;
vigilant;"Vigilante";1989;"Irem";YES;-;NO;-;-;
violents;"Violent Soldier";1990;"IGS";YES;-;NO;-;-;
volfied;"Volfied";1989;"Taito";YES;-;NO;-;-;
wring;"W-ring - The Double Rings";1990;"Naxat";YES;-;NO;-;-;
waiwaimj;"Wai Wai Mahjong - Yukaina Janyuu Tachi";1989;"Video System";YES;-;NO;-;-;
valkyrie;"Walkuere no Densetsu";1990;"Namcot";YES;-;NO;-;-;
wallaby;"Wallaby!! - Usagi no Kuni no Kangaroo Race";1990;"Masiya";YES;-;NO;-;-;
winshot;"Winning Shot";1989;"Data East";YES;-;NO;-;-;
wonderm;"Wonder Momo";1989;"Namcot";YES;-;NO;-;-;
wbeach;"World Beach Volley";1990;"IGS";YES;-;NO;-;-;
wcircuit;"World Circuit";1991;"Namcot";YES;-;NO;-;-;
wjockey;"World Jockey";1991;"Namcot";YES;-;NO;-;-;
xevious;"Xevious - Fardraut Densetsu";1990;"Namcot";YES;-;NO;-;-;
youkaid;"Youkai Douchuuki";1988;"Namcot";YES;-;NO;-;-;
yuyu;"Yuu Yuu Jinsei - Victory Life";1988;"Hudson";YES;-;NO;-;-;
zero4ca;"Zero 4 Champ";1991;"Media Rings Corporation";NO;zero4c;YES;zero4c;-;
zero4c;"Zero 4 Champ (v1.5)";1991;"Media Rings Corporation";YES;-;NO;-;-;
zipang;"Zipang";1990;"Pack-In-Video";YES;-;NO;-;-;

