name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
oozep04;"The Ooze (Prototype 112, 19950626)";1995;"Sega";NO;ooze;YES;ooze;-;
oozep07;"The Ooze (Prototype, 19950615)";1995;"Sega";NO;ooze;YES;ooze;-;
oozep06;"The Ooze (Prototype, 19950619)";1995;"Sega";NO;ooze;YES;ooze;-;
oozep02;"The Ooze (Prototype, 19950629)";1995;"Sega";NO;ooze;YES;ooze;-;
oozep03;"The Ooze (Prototype, 19950629-B)";1995;"Sega";NO;ooze;YES;ooze;-;
ottifant;"The Ottifants (Euro)";1993;"Sega";YES;-;NO;-;-;
ottifantg;"The Ottifants (Ger, Prototype)";1993;"Sega";NO;ottifant;YES;ottifant;-;
pagemstr;"The Pagemaster (Euro)";1994;"Fox Interactive";YES;-;NO;-;-;
pagemstru;"The Pagemaster (USA)";1994;"Fox Interactive";NO;pagemstr;YES;pagemstr;-;
pagemstrup;"The Pagemaster (USA, Prototype)";1994;"Fox Interactive";NO;pagemstr;YES;pagemstr;-;
piratedw1;"The Pirates of Dark Water (Euro, USA, May 1994)";1994;"Sunsoft";NO;piratedw;YES;piratedw;-;
piratedw;"The Pirates of Dark Water (USA, January 1994)";1994;"Sunsoft";YES;-;NO;-;-;
punisher;"The Punisher (Euro)";1994;"Capcom";YES;-;NO;-;-;
punisheru;"The Punisher (USA)";1994;"Capcom";NO;punisher;YES;punisher;-;
revshin2;"The Revenge of Shinobi (Euro, USA)";1989;"Sega";NO;revshin;YES;revshin;-;
revshin1;"The Revenge of Shinobi (Euro, USA, Rev. A)";1989;"Sega";NO;revshin;YES;revshin;-;
revshin;"The Revenge of Shinobi (Euro, USA, Rev. B)";1989;"Sega";YES;-;NO;-;-;
seconds;"The Second Samurai (Euro)";1994;"Psygnosis";YES;-;NO;-;-;
bartvssm1;"The Simpsons - Bart Vs The Space Mutants (Euro, USA)";1992;"Flying Edge";NO;bartvssm;YES;bartvssm;-;
bartvssm;"The Simpsons - Bart Vs The Space Mutants (Euro, USA, Rev. A)";1992;"Flying Edge";YES;-;NO;-;-;
bartnigh;"The Simpsons - Bart's Nightmare (Euro, USA)";1993;"Flying Edge";YES;-;NO;-;-;
smurfs;"The Smurfs (Euro, Rev. A)";1995;"Infogrames";YES;-;NO;-;-;
smurfstw;"The Smurfs Travel the World (Euro)";1996;"Infogrames";YES;-;NO;-;-;
thor;"The Story of Thor (Euro)";1995;"Sega";YES;-;NO;-;-;
thorg;"The Story of Thor (Ger)";1995;"Sega";NO;thor;YES;thor;-;
thorjp;"The Story of Thor (Jpn, Prototype)";1994;"Sega";NO;thor;YES;thor;-;
thork;"The Story of Thor (Kor)";1995;"Sega";NO;thor;YES;thor;-;
thors;"The Story of Thor (Spa)";1995;"Sega";NO;thor;YES;thor;-;
thorp2;"The Story of Thor (USA, Prototype, 19941004)";1994;"Sega";NO;thor;YES;thor;-;
thorp1;"The Story of Thor (USA, Prototype, 19941017)";1994;"Sega";NO;thor;YES;thor;-;
thorf;"The Story of Thor - A Successor of The Light (Fra)";1995;"Sega";NO;thor;YES;thor;-;
thorj;"The Story of Thor - Hikari o Tsugumono (Jpn)";1995;"Sega";NO;thor;YES;thor;-;
