name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
nbaactp03;"NBA Action Starring David Robinson (Final F,  19940304)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp02;"NBA Action Starring David Robinson (Final G,  19940305)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp01;"NBA Action Starring David Robinson (Final H,  19940308)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp30;"NBA Action Starring David Robinson (Prototype, 19931128)";1993;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp29;"NBA Action Starring David Robinson (Prototype, 19931201)";1993;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp28;"NBA Action Starring David Robinson (Prototype, 19940104)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp27;"NBA Action Starring David Robinson (Prototype, 19940106)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp26;"NBA Action Starring David Robinson (Prototype, 19940110)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp25;"NBA Action Starring David Robinson (Prototype, 19940124)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp24;"NBA Action Starring David Robinson (Prototype, 19940129)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp23;"NBA Action Starring David Robinson (Prototype, 19940202)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp22;"NBA Action Starring David Robinson (Prototype, 19940203)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp21;"NBA Action Starring David Robinson (Prototype, 19940206)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp20;"NBA Action Starring David Robinson (Prototype, 19940208)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp19;"NBA Action Starring David Robinson (Prototype, 19940212)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp17;"NBA Action Starring David Robinson (Prototype, 19940217)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp16;"NBA Action Starring David Robinson (Prototype, 19940220)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp15;"NBA Action Starring David Robinson (Prototype, 19940221)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp14;"NBA Action Starring David Robinson (Prototype, 19940224)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp12;"NBA Action Starring David Robinson (Prototype, 19940225)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp13;"NBA Action Starring David Robinson (Prototype, 19940225-B)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp11;"NBA Action Starring David Robinson (Prototype, 19940226)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp10;"NBA Action Starring David Robinson (Prototype, 19940227)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp09;"NBA Action Starring David Robinson (Prototype, 19940228)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaactp18;"NBA Action Starring David Robinson (Prototype, 19941215)";1994;"Sega";NO;nbaact;YES;nbaact;-;
nbaact;"NBA Action Starring David Robinson (USA)";1994;"Sega";YES;-;NO;-;-;
nbajam1;"NBA Jam (Euro, USA)";1993;"Arena";NO;nbajam;YES;nbajam;-;
nbajamj;"NBA Jam (Jpn)";1994;"Acclaim Entertainment";NO;nbajam;YES;nbajam;-;
nbajam;"NBA Jam (USA, v1.1)";1993;"Arena";YES;-;NO;-;-;
nbajamte;"NBA Jam Tournament Edition (World)";1994;"Acclaim Entertainment";YES;-;NO;-;-;
nfl95p13;"NFL '95 (Prototype, 19940808)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p11;"NFL '95 (Prototype, 19940825)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p12;"NFL '95 (Prototype, 19940825-A)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p10;"NFL '95 (Prototype, 19940826)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p09;"NFL '95 (Prototype, 19940831)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p08;"NFL '95 (Prototype, 19940902)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p07;"NFL '95 (Prototype, 19940908)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p06;"NFL '95 (Prototype, 19940910)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p05;"NFL '95 (Prototype, 19940911-B)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p04;"NFL '95 (Prototype, 19940911-C)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p03;"NFL '95 (Prototype, 19940912)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p01;"NFL '95 (Prototype, 19940914)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95p02;"NFL '95 (Prototype, 19940914-F)";1994;"Sega";NO;nfl95;YES;nfl95;-;
nfl95;"NFL '95 (USA)";1994;"Sega";YES;-;NO;-;-;
nflqb96;"NFL Quarterback Club '96 (Euro, USA)";1995;"Acclaim Entertainment";YES;-;NO;-;-;
